left,top,width,height,ca,no,tr,fr
898,249,329,423,airplane,23,ryminus,79
902,243,165,501,airplane,23,ryminus,85
700,321,480,391,airplane,23,ryminus,91
795,436,464,154,airplane,23,ryminus,97
830,317,394,417,airplane,23,ryminus,103
904,261,152,463,airplane,23,ryminus,109
851,317,411,395,airplane,23,ryminus,115
843,319,498,182,airplane,23,ryplus,1
829,388,455,203,airplane,23,ryplus,7
798,288,415,381,airplane,23,ryplus,13
856,290,201,451,airplane,23,ryplus,19
958,299,159,453,airplane,23,ryplus,25
837,306,446,514,airplane,23,ryplus,31
782,492,465,286,airplane,23,ryplus,37
777,572,419,129,airplane,23,ryplus,43
727,501,375,278,airplane,23,ryplus,49
815,389,173,472,airplane,23,ryplus,55
843,408,282,425,airplane,23,ryplus,61
796,471,496,291,airplane,23,ryplus,67
705,409,617,459,airplane,23,ryplus,73
828,396,287,421,airplane,23,ryplus,79
882,375,117,395,airplane,23,ryplus,85
805,362,246,497,airplane,23,ryplus,91
788,501,423,310,airplane,23,ryplus,97
722,545,526,238,airplane,23,ryplus,103
790,485,327,376,airplane,23,ryplus,109
790,425,391,505,airplane,23,ryplus,115
692,352,518,210,airplane,23,rzminus,1
699,456,437,144,airplane,23,rzminus,7
794,457,270,162,airplane,23,rzminus,13
745,443,360,205,airplane,23,rzminus,19
763,426,354,171,airplane,23,rzminus,25
675,399,539,259,airplane,23,rzminus,31
641,434,611,261,airplane,23,rzminus,37
633,412,481,199,airplane,23,rzminus,43
646,443,426,274,airplane,23,rzminus,49
647,495,359,165,airplane,23,rzminus,55
672,497,386,164,airplane,23,rzminus,61
634,463,547,204,airplane,23,rzminus,67
843,473,372,235,airplane,23,rzminus,73
789,488,328,227,airplane,23,rzminus,79
749,526,340,211,airplane,23,rzminus,85
657,533,468,200,airplane,23,rzminus,91
680,575,529,177,airplane,23,rzminus,97
656,570,436,230,airplane,23,rzminus,103
672,625,365,188,airplane,23,rzminus,109
754,564,373,200,airplane,23,rzminus,115
780,508,495,152,airplane,23,rzminus,121
690,364,700,254,airplane,23,rzplus,1
631,397,787,278,airplane,23,rzplus,7
699,452,580,168,airplane,23,rzplus,13
716,466,525,199,airplane,23,rzplus,19
778,536,450,146,airplane,23,rzplus,25
845,523,380,179,airplane,23,rzplus,31
908,534,308,185,airplane,23,rzplus,37
830,553,362,236,airplane,23,rzplus,43
853,598,387,137,airplane,23,rzplus,49
760,590,607,228,airplane,23,rzplus,55
794,607,533,196,airplane,23,rzplus,61
744,578,393,254,airplane,23,rzplus,67
845,669,390,225,airplane,23,rzplus,73
952,697,355,226,airplane,23,rzplus,79
949,730,401,200,airplane,23,rzplus,85
842,727,593,249,airplane,23,rzplus,91
821,737,556,162,airplane,23,rzplus,97
825,675,512,169,airplane,23,rzplus,103
997,673,360,174,airplane,23,rzplus,109
1000,700,377,146,airplane,23,rzplus,115
335,124,730,255,airplane,24,rxminus,1
568,93,537,212,airplane,24,rxminus,7
500,73,611,255,airplane,24,rxminus,13
566,25,659,300,airplane,24,rxminus,19
463,8,750,380,airplane,24,rxminus,25
570,65,594,291,airplane,24,rxminus,31
619,54,631,229,airplane,24,rxminus,37
662,11,598,286,airplane,24,rxminus,43
610,0,689,375,airplane,24,rxminus,49
590,0,705,390,airplane,24,rxminus,55
685,24,637,251,airplane,24,rxminus,61
600,0,731,223,airplane,24,rxminus,67
661,7,648,264,airplane,24,rxminus,73
737,0,620,337,airplane,24,rxminus,79
659,0,791,370,airplane,24,rxminus,85
619,0,632,263,airplane,24,rxminus,91
702,13,560,237,airplane,24,rxminus,97
587,0,836,372,airplane,24,rxminus,103
613,0,741,379,airplane,24,rxminus,109
666,0,687,282,airplane,24,rxminus,115
671,10,665,176,airplane,24,rxminus,121
671,0,764,177,airplane,24,rxminus,127
665,0,710,146,airplane,24,rxminus,133
231,42,776,256,airplane,24,rxplus,1
319,25,733,262,airplane,24,rxplus,7
561,7,600,199,airplane,24,rxplus,13
561,14,636,374,airplane,24,rxplus,19
453,1,843,417,airplane,24,rxplus,25
608,72,680,306,airplane,24,rxplus,31
558,94,728,285,airplane,24,rxplus,37
619,69,692,306,airplane,24,rxplus,43
555,0,754,431,airplane,24,rxplus,49
606,4,742,314,airplane,24,rxplus,55
610,59,646,254,airplane,24,rxplus,61
593,5,729,471,airplane,24,rxplus,67
573,28,886,464,airplane,24,rxplus,73
636,89,698,261,airplane,24,rxplus,79
589,50,726,267,airplane,24,rxplus,85
608,2,696,348,airplane,24,rxplus,91
601,10,763,370,airplane,24,rxplus,97
549,5,977,353,airplane,24,rxplus,103
610,0,824,355,airplane,24,rxplus,109
601,45,781,268,airplane,24,rxplus,115
626,61,748,265,airplane,24,rxplus,121
315,8,754,261,airplane,24,ryminus,1
426,5,698,218,airplane,24,ryminus,7
458,21,638,279,airplane,24,ryminus,13
570,0,455,430,airplane,24,ryminus,19
616,0,431,396,airplane,24,ryminus,25
514,0,494,432,airplane,24,ryminus,31
419,50,662,172,airplane,24,ryminus,37
686,31,462,324,airplane,24,ryminus,43
689,0,366,453,airplane,24,ryminus,49
710,3,237,410,airplane,24,ryminus,55
701,3,346,418,airplane,24,ryminus,61
534,1,735,414,airplane,24,ryminus,67
483,23,643,228,airplane,24,ryminus,73
747,5,474,284,airplane,24,ryminus,79
854,0,197,539,airplane,24,ryminus,85
784,6,242,293,airplane,24,ryminus,91
585,0,658,275,airplane,24,ryminus,97
809,7,573,315,airplane,24,ryminus,103
880,0,241,490,airplane,24,ryminus,109
656,0,516,359,airplane,24,ryminus,115
512,0,751,189,airplane,24,ryminus,121
602,16,763,261,airplane,24,ryminus,127
500,35,701,274,airplane,24,ryplus,1
558,128,723,262,airplane,24,ryplus,7
558,57,740,323,airplane,24,ryplus,13
592,0,594,419,airplane,24,ryplus,19
781,2,263,579,airplane,24,ryplus,25
874,7,279,504,airplane,24,ryplus,31
709,19,634,423,airplane,24,ryplus,37
606,69,754,236,airplane,24,ryplus,43
556,0,595,396,airplane,24,ryplus,49
851,2,231,512,airplane,24,ryplus,55
903,0,379,352,airplane,24,ryplus,61
795,21,480,233,airplane,24,ryplus,67
711,0,518,335,airplane,24,ryplus,73
896,8,215,455,airplane,24,ryplus,79
853,0,353,477,airplane,24,ryplus,85
858,0,625,312,airplane,24,ryplus,91
760,21,552,204,airplane,24,ryplus,97
775,0,382,504,airplane,24,ryplus,103
856,0,216,635,airplane,24,ryplus,109
842,3,402,470,airplane,24,ryplus,115
732,3,643,282,airplane,24,ryplus,121
729,28,696,347,airplane,24,ryplus,127
575,96,708,230,airplane,24,rzminus,1
582,55,700,233,airplane,24,rzminus,7
854,121,283,210,airplane,24,rzminus,13
621,0,537,243,airplane,24,rzminus,19
587,7,630,236,airplane,24,rzminus,25
456,4,693,254,airplane,24,rzminus,31
478,11,874,243,airplane,24,rzminus,37
683,53,565,224,airplane,24,rzminus,43
661,30,395,228,airplane,24,rzminus,49
630,25,530,240,airplane,24,rzminus,55
465,20,851,257,airplane,24,rzminus,61
416,13,901,337,airplane,24,rzminus,67
564,9,677,248,airplane,24,rzminus,73
667,0,633,294,airplane,24,rzminus,79
633,6,685,326,airplane,24,rzminus,85
532,13,696,278,airplane,24,rzminus,91
522,16,841,337,airplane,24,rzminus,97
644,64,651,246,airplane,24,rzminus,103
667,58,514,261,airplane,24,rzminus,109
455,44,833,242,airplane,24,rzminus,115
448,31,851,275,airplane,24,rzminus,121
495,68,740,237,airplane,24,rzminus,127
239,0,752,150,airplane,24,rzplus,1
171,23,700,332,airplane,24,rzplus,7
230,0,805,265,airplane,24,rzplus,13
389,36,725,256,airplane,24,rzplus,19
601,107,472,261,airplane,24,rzplus,25
534,67,679,358,airplane,24,rzplus,31
590,58,718,261,airplane,24,rzplus,37
701,124,485,251,airplane,24,rzplus,43
802,129,358,243,airplane,24,rzplus,49
764,165,499,351,airplane,24,rzplus,55
475,54,762,253,airplane,24,rzplus,61
547,92,700,239,airplane,24,rzplus,67
538,72,593,264,airplane,24,rzplus,73
718,1,420,257,airplane,24,rzplus,79
658,0,694,210,airplane,24,rzplus,85
655,3,823,279,airplane,24,rzplus,91
618,31,702,304,airplane,24,rzplus,97
777,11,455,229,airplane,24,rzplus,103
720,0,614,245,airplane,24,rzplus,109
685,0,752,309,airplane,24,rzplus,115
539,17,779,275,airplane,24,rzplus,121
426,42,790,264,airplane,24,rzplus,127
678,449,807,196,airplane,25,rxminus,1
720,432,721,192,airplane,25,rxminus,7
644,333,750,405,airplane,25,rxminus,13
654,303,620,482,airplane,25,rxminus,19
588,348,699,492,airplane,25,rxminus,25
652,430,651,357,airplane,25,rxminus,31
693,483,626,159,airplane,25,rxminus,37
672,517,622,219,airplane,25,rxminus,43
616,492,658,399,airplane,25,rxminus,49
696,415,722,569,airplane,25,rxminus,55
730,497,591,329,airplane,25,rxminus,61
704,514,674,171,airplane,25,rxminus,67
694,440,667,278,airplane,25,rxminus,73
603,378,778,420,airplane,25,rxminus,79
657,366,620,433,airplane,25,rxminus,85
690,434,612,274,airplane,25,rxminus,91
707,466,609,273,airplane,25,rxminus,97
705,494,577,414,airplane,25,rxminus,103
666,486,580,387,airplane,25,rxminus,109
669,547,637,194,airplane,25,rxminus,115
636,316,715,269,airplane,25,rxplus,1
704,404,568,197,airplane,25,rxplus,7
697,389,567,318,airplane,25,rxplus,13
632,326,646,419,airplane,25,rxplus,19
608,282,630,420,airplane,25,rxplus,25
679,347,574,313,airplane,25,rxplus,31
718,471,733,248,airplane,25,rxplus,37
636,474,804,287,airplane,25,rxplus,43
716,512,591,218,airplane,25,rxplus,49
653,467,601,398,airplane,25,rxplus,55
651,482,602,414,airplane,25,rxplus,61
735,523,532,207,airplane,25,rxplus,67
699,506,590,225,airplane,25,rxplus,73
674,476,590,360,airplane,25,rxplus,79
700,422,610,397,airplane,25,rxplus,85
637,509,679,243,airplane,25,rxplus,91
767,595,569,179,airplane,25,rxplus,97
672,506,592,398,airplane,25,rxplus,103
697,451,568,335,airplane,25,rxplus,109
788,486,605,183,airplane,25,rxplus,115
648,311,677,197,airplane,25,ryminus,1
669,210,643,537,airplane,25,ryminus,7
646,108,498,577,airplane,25,ryminus,13
744,52,304,787,airplane,25,ryminus,19
684,301,301,636,airplane,25,ryminus,25
548,277,607,518,airplane,25,ryminus,31
609,479,666,186,airplane,25,ryminus,37
718,278,598,454,airplane,25,ryminus,43
809,86,369,644,airplane,25,ryminus,49
773,1,220,772,airplane,25,ryminus,55
661,62,431,728,airplane,25,ryminus,61
492,254,720,317,airplane,25,ryminus,67
442,361,833,282,airplane,25,ryminus,73
481,272,650,326,airplane,25,ryminus,79
563,140,544,753,airplane,25,ryminus,85
826,231,214,702,airplane,25,ryminus,91
631,186,456,579,airplane,25,ryminus,97
553,329,669,215,airplane,25,ryminus,103
629,311,564,339,airplane,25,ryminus,109
812,55,233,619,airplane,25,ryminus,115
685,116,343,708,airplane,25,ryminus,121
599,295,486,336,airplane,25,ryminus,127
669,306,724,164,airplane,25,ryplus,1
714,358,671,202,airplane,25,ryplus,7
785,224,566,371,airplane,25,ryplus,13
794,81,216,658,airplane,25,ryplus,19
679,250,304,627,airplane,25,ryplus,25
578,287,666,454,airplane,25,ryplus,31
636,341,642,317,airplane,25,ryplus,37
599,315,566,371,airplane,25,ryplus,43
704,137,278,644,airplane,25,ryplus,49
752,136,211,636,airplane,25,ryplus,55
541,298,581,426,airplane,25,ryplus,61
537,358,698,225,airplane,25,ryplus,67
590,208,559,442,airplane,25,ryplus,73
745,75,395,721,airplane,25,ryplus,79
712,222,432,622,airplane,25,ryplus,85
666,292,654,372,airplane,25,ryplus,91
573,373,703,271,airplane,25,ryplus,97
762,179,291,692,airplane,25,ryplus,103
657,322,452,642,airplane,25,ryplus,109
637,389,689,214,airplane,25,ryplus,115
810,242,752,184,airplane,25,rzminus,1
739,308,757,151,airplane,25,rzminus,7
815,371,538,182,airplane,25,rzminus,13
762,364,496,214,airplane,25,rzminus,19
597,350,505,240,airplane,25,rzminus,25
458,426,706,207,airplane,25,rzminus,31
460,485,636,206,airplane,25,rzminus,37
538,507,490,288,airplane,25,rzminus,43
714,515,494,202,airplane,25,rzminus,49
648,482,644,159,airplane,25,rzminus,55
704,441,571,154,airplane,25,rzminus,61
694,458,488,114,airplane,25,rzminus,67
527,447,589,154,airplane,25,rzminus,73
462,454,598,168,airplane,25,rzminus,79
587,512,505,240,airplane,25,rzminus,85
590,400,754,154,airplane,25,rzminus,91
809,223,780,189,airplane,25,rzminus,97
699,432,666,186,airplane,25,rzplus,1
659,433,680,206,airplane,25,rzplus,7
655,431,621,224,airplane,25,rzplus,13
797,395,491,170,airplane,25,rzplus,19
809,470,420,173,airplane,25,rzplus,25
751,475,522,180,airplane,25,rzplus,31
646,448,720,269,airplane,25,rzplus,37
615,453,764,261,airplane,25,rzplus,43
702,565,508,165,airplane,25,rzplus,49
841,513,606,264,airplane,25,rzplus,55
876,453,576,242,airplane,25,rzplus,61
760,517,757,265,airplane,25,rzplus,67
667,510,737,204,airplane,25,rzplus,73
960,565,437,157,airplane,25,rzplus,79
910,583,597,255,airplane,25,rzplus,85
775,532,668,207,airplane,25,rzplus,91
759,570,525,166,airplane,25,rzplus,97
881,572,445,180,airplane,25,rzplus,103
900,593,600,131,airplane,25,rzplus,109
902,386,735,179,airplane,25,rzplus,115
698,442,450,197,airplane,26,rxminus,1
842,410,333,312,airplane,26,rxminus,7
850,404,341,433,airplane,26,rxminus,13
830,375,362,456,airplane,26,rxminus,19
721,392,580,402,airplane,26,rxminus,25
833,519,353,172,airplane,26,rxminus,31
838,479,445,236,airplane,26,rxminus,37
821,410,392,434,airplane,26,rxminus,43
871,435,363,433,airplane,26,rxminus,49
880,506,358,305,airplane,26,rxminus,55
815,545,507,255,airplane,26,rxminus,61
814,611,382,165,airplane,26,rxminus,67
865,442,372,357,airplane,26,rxminus,73
861,395,389,495,airplane,26,rxminus,79
834,415,398,434,airplane,26,rxminus,85
861,361,372,324,airplane,26,rxminus,91
864,419,414,161,airplane,26,rxminus,97
870,422,359,248,airplane,26,rxminus,103
840,302,439,453,airplane,26,rxminus,109
813,258,519,479,airplane,26,rxminus,115
881,295,350,270,airplane,26,rxminus,121
780,722,340,134,airplane,26,rxplus,1
756,700,368,227,airplane,26,rxplus,7
786,616,335,394,airplane,26,rxplus,13
735,570,485,433,airplane,26,rxplus,19
791,616,319,172,airplane,26,rxplus,25
778,639,426,220,airplane,26,rxplus,31
822,629,347,298,airplane,26,rxplus,37
751,508,448,448,airplane,26,rxplus,43
837,474,356,403,airplane,26,rxplus,49
736,561,476,281,airplane,26,rxplus,55
760,591,496,248,airplane,26,rxplus,61
857,622,338,175,airplane,26,rxplus,67
815,497,393,456,airplane,26,rxplus,73
823,515,380,383,airplane,26,rxplus,79
801,503,374,268,airplane,26,rxplus,85
783,600,559,215,airplane,26,rxplus,91
845,621,363,227,airplane,26,rxplus,97
863,513,351,410,airplane,26,rxplus,103
778,443,554,474,airplane,26,rxplus,109
856,521,356,361,airplane,26,rxplus,115
872,557,351,209,airplane,26,rxplus,121
872,543,356,150,airplane,26,rxplus,127
762,486,366,167,airplane,26,ryminus,1
835,439,301,247,airplane,26,ryminus,7
915,427,158,329,airplane,26,ryminus,13
823,406,198,349,airplane,26,ryminus,19
793,511,341,167,airplane,26,ryminus,25
828,509,357,165,airplane,26,ryminus,31
867,514,328,161,airplane,26,ryminus,37
920,391,203,385,airplane,26,ryminus,43
958,457,210,335,airplane,26,ryminus,49
867,392,432,404,airplane,26,ryminus,55
961,549,325,228,airplane,26,ryminus,61
849,540,368,154,airplane,26,ryminus,67
841,412,392,344,airplane,26,ryminus,73
800,388,390,492,airplane,26,ryminus,79
930,422,260,354,airplane,26,ryminus,85
864,516,357,204,airplane,26,ryminus,91
952,475,353,246,airplane,26,ryminus,97
1067,352,165,362,airplane,26,ryminus,103
957,325,281,331,airplane,26,ryminus,109
938,294,304,277,airplane,26,ryminus,115
892,310,257,202,airplane,26,ryminus,121
668,443,430,167,airplane,26,ryplus,1
716,472,330,193,airplane,26,ryplus,7
766,472,251,283,airplane,26,ryplus,13
754,435,176,345,airplane,26,ryplus,19
766,460,255,310,airplane,26,ryplus,25
749,492,389,261,airplane,26,ryplus,31
751,549,343,147,airplane,26,ryplus,37
650,448,475,342,airplane,26,ryplus,43
833,416,232,340,airplane,26,ryplus,49
825,438,241,344,airplane,26,ryplus,55
808,478,339,249,airplane,26,ryplus,61
756,575,385,176,airplane,26,ryplus,67
726,456,334,311,airplane,26,ryplus,73
837,429,245,400,airplane,26,ryplus,79
787,512,326,221,airplane,26,ryplus,85
720,517,445,262,airplane,26,ryplus,91
887,490,254,341,airplane,26,ryplus,97
892,522,207,376,airplane,26,ryplus,103
862,491,347,489,airplane,26,ryplus,109
911,498,190,385,airplane,26,ryplus,115
877,515,326,311,airplane,26,ryplus,121
695,438,363,166,airplane,26,rzminus,1
711,446,386,197,airplane,26,rzminus,7
597,526,456,235,airplane,26,rzminus,13
672,529,349,185,airplane,26,rzminus,19
716,440,382,178,airplane,26,rzminus,25
774,515,275,150,airplane,26,rzminus,31
592,370,470,332,airplane,26,rzminus,37
604,483,473,182,airplane,26,rzminus,43
868,489,265,167,airplane,26,rzminus,49
710,499,504,168,airplane,26,rzminus,55
685,455,469,218,airplane,26,rzminus,61
725,490,419,196,airplane,26,rzminus,67
728,447,416,180,airplane,26,rzminus,73
760,480,400,178,airplane,26,rzminus,79
807,544,335,187,airplane,26,rzminus,85
763,495,360,258,airplane,26,rzminus,91
830,524,363,169,airplane,26,rzminus,97
918,465,326,197,airplane,26,rzminus,103
882,500,437,192,airplane,26,rzminus,109
820,595,509,170,airplane,26,rzminus,115
889,505,361,153,airplane,26,rzminus,121
671,386,448,247,airplane,26,rzplus,1
774,452,378,179,airplane,26,rzplus,7
668,449,537,424,airplane,26,rzplus,13
731,468,515,182,airplane,26,rzplus,19
763,472,492,221,airplane,26,rzplus,25
846,518,363,194,airplane,26,rzplus,31
777,519,398,207,airplane,26,rzplus,37
754,502,392,269,airplane,26,rzplus,43
857,532,383,183,airplane,26,rzplus,49
800,526,514,264,airplane,26,rzplus,55
803,475,467,258,airplane,26,rzplus,61
947,531,374,187,airplane,26,rzplus,67
959,547,395,173,airplane,26,rzplus,73
905,572,417,176,airplane,26,rzplus,79
852,564,444,180,airplane,26,rzplus,85
866,558,470,167,airplane,26,rzplus,91
913,565,432,184,airplane,26,rzplus,97
938,558,410,192,airplane,26,rzplus,103
995,551,222,207,airplane,26,rzplus,109
941,626,319,147,airplane,26,rzplus,115
1052,568,455,194,airplane,26,rzplus,121
923,504,359,146,airplane,26,rzplus,127
770,511,346,109,airplane,27,rxminus,1
798,438,421,230,airplane,27,rxminus,7
783,437,459,228,airplane,27,rxminus,13
798,355,387,411,airplane,27,rxminus,19
818,366,318,340,airplane,27,rxminus,25
822,419,309,209,airplane,27,rxminus,31
914,489,298,114,airplane,27,rxminus,37
859,453,327,225,airplane,27,rxminus,43
889,382,313,370,airplane,27,rxminus,49
869,444,312,273,airplane,27,rxminus,55
826,450,407,238,airplane,27,rxminus,61
902,393,305,322,airplane,27,rxminus,67
906,421,294,326,airplane,27,rxminus,73
877,472,301,215,airplane,27,rxminus,79
832,492,388,138,airplane,27,rxminus,85
847,514,398,123,airplane,27,rxminus,91
880,430,311,283,airplane,27,rxminus,97
852,394,446,381,airplane,27,rxminus,103
778,399,480,293,airplane,27,rxminus,109
886,479,315,144,airplane,27,rxminus,115
876,496,317,102,airplane,27,rxminus,121
818,460,351,124,airplane,27,rxminus,127
803,660,315,93,airplane,27,rxplus,1
823,637,273,89,airplane,27,rxplus,7
845,481,311,236,airplane,27,rxplus,13
784,343,401,422,airplane,27,rxplus,19
743,380,476,319,airplane,27,rxplus,25
787,438,361,219,airplane,27,rxplus,31
857,381,286,322,airplane,27,rxplus,37
885,375,311,308,airplane,27,rxplus,43
885,395,303,209,airplane,27,rxplus,49
882,472,306,94,airplane,27,rxplus,55
899,472,296,119,airplane,27,rxplus,61
841,376,442,331,airplane,27,rxplus,67
906,350,297,347,airplane,27,rxplus,73
898,337,318,282,airplane,27,rxplus,79
916,375,292,144,airplane,27,rxplus,85
887,410,303,277,airplane,27,rxplus,91
894,376,316,359,airplane,27,rxplus,97
880,366,356,349,airplane,27,rxplus,103
913,473,293,132,airplane,27,rxplus,109
893,461,333,145,airplane,27,rxplus,115
898,409,391,105,airplane,27,rxplus,121
861,514,318,97,airplane,27,ryminus,1
877,475,301,91,airplane,27,ryminus,7
915,347,308,148,airplane,27,ryminus,13
934,329,239,287,airplane,27,ryminus,19
997,343,120,335,airplane,27,ryminus,25
1156,410,157,247,airplane,27,ryminus,31
1023,453,312,184,airplane,27,ryminus,37
1031,483,323,118,airplane,27,ryminus,43
997,369,279,216,airplane,27,ryminus,49
1079,316,140,319,airplane,27,ryminus,55
1078,327,124,327,airplane,27,ryminus,61
1007,473,318,165,airplane,27,ryminus,67
1018,478,265,158,airplane,27,ryminus,73
1011,375,124,225,airplane,27,ryminus,79
929,365,273,362,airplane,27,ryminus,85
969,446,256,200,airplane,27,ryminus,91
982,516,284,102,airplane,27,ryminus,97
920,430,368,223,airplane,27,ryminus,103
1035,361,189,323,airplane,27,ryminus,109
989,306,162,474,airplane,27,ryminus,115
1006,333,200,312,airplane,27,ryminus,121
989,410,297,131,airplane,27,ryminus,127
842,459,437,243,airplane,27,ryplus,1
834,497,315,118,airplane,27,ryplus,7
915,414,276,291,airplane,27,ryplus,13
1047,381,105,334,airplane,27,ryplus,19
979,407,281,257,airplane,27,ryplus,25
1006,465,276,104,airplane,27,ryplus,31
955,558,348,154,airplane,27,ryplus,37
968,574,193,204,airplane,27,ryplus,43
963,499,169,226,airplane,27,ryplus,49
1009,458,187,425,airplane,27,ryplus,55
997,531,257,251,airplane,27,ryplus,61
940,608,371,117,airplane,27,ryplus,67
916,588,325,150,airplane,27,ryplus,73
923,541,403,421,airplane,27,ryplus,79
1061,516,129,324,airplane,27,ryplus,85
980,538,295,242,airplane,27,ryplus,91
961,555,298,103,airplane,27,ryplus,97
975,463,201,336,airplane,27,ryplus,103
998,449,262,399,airplane,27,ryplus,109
992,542,214,185,airplane,27,ryplus,115
946,592,285,137,airplane,27,ryplus,121
901,560,430,155,airplane,27,ryplus,127
837,400,323,119,airplane,27,rzminus,1
804,407,389,131,airplane,27,rzminus,7
892,359,336,127,airplane,27,rzminus,13
871,321,495,274,airplane,27,rzminus,19
984,382,294,122,airplane,27,rzminus,25
930,306,387,210,airplane,27,rzminus,31
965,391,278,104,airplane,27,rzminus,37
906,401,319,107,airplane,27,rzminus,43
935,429,378,114,airplane,27,rzminus,49
930,403,296,112,airplane,27,rzminus,55
1014,412,162,108,airplane,27,rzminus,61
992,458,254,64,airplane,27,rzminus,67
957,477,308,134,airplane,27,rzminus,73
873,463,356,115,airplane,27,rzminus,79
968,443,264,146,airplane,27,rzminus,85
952,394,279,166,airplane,27,rzminus,91
903,361,391,252,airplane,27,rzminus,97
918,420,261,102,airplane,27,rzminus,103
893,421,373,142,airplane,27,rzminus,109
1035,439,254,96,airplane,27,rzminus,115
927,397,359,133,airplane,27,rzminus,121
832,331,505,274,airplane,27,rzminus,127
871,414,441,220,airplane,27,rzminus,133
796,489,297,88,airplane,27,rzplus,1
845,483,304,100,airplane,27,rzplus,7
845,511,315,97,airplane,27,rzplus,13
932,505,254,112,airplane,27,rzplus,19
837,492,426,181,airplane,27,rzplus,25
840,511,343,104,airplane,27,rzplus,31
910,494,294,119,airplane,27,rzplus,37
917,522,286,172,airplane,27,rzplus,43
836,491,291,129,airplane,27,rzplus,49
893,512,328,146,airplane,27,rzplus,55
842,484,377,178,airplane,27,rzplus,61
920,526,283,103,airplane,27,rzplus,67
832,507,426,176,airplane,27,rzplus,73
888,551,285,92,airplane,27,rzplus,79
900,562,338,106,airplane,27,rzplus,85
885,526,317,128,airplane,27,rzplus,91
820,429,509,318,airplane,27,rzplus,97
930,522,246,139,airplane,27,rzplus,103
885,457,398,233,airplane,27,rzplus,109
866,526,294,114,airplane,27,rzplus,115
908,542,281,93,airplane,27,rzplus,121
852,475,418,233,airplane,27,rzplus,127
517,263,1011,339,airplane,28,rxminus,1
517,283,863,314,airplane,28,rxminus,7
470,190,990,495,airplane,28,rxminus,13
555,82,878,672,airplane,28,rxminus,19
562,154,856,554,airplane,28,rxminus,25
494,243,922,342,airplane,28,rxminus,31
565,241,846,320,airplane,28,rxminus,37
566,93,778,565,airplane,28,rxminus,43
521,30,843,674,airplane,28,rxminus,49
527,21,869,735,airplane,28,rxminus,55
495,216,909,463,airplane,28,rxminus,61
488,239,925,319,airplane,28,rxminus,67
655,157,810,387,airplane,28,rxminus,73
491,18,1005,696,airplane,28,rxminus,79
420,96,1052,636,airplane,28,rxminus,85
431,96,927,516,airplane,28,rxminus,91
381,233,996,302,airplane,28,rxminus,97
433,227,995,326,airplane,28,rxminus,103
433,58,970,609,airplane,28,rxminus,109
440,42,941,720,airplane,28,rxminus,115
546,245,748,457,airplane,28,rxminus,121
456,166,1016,413,airplane,28,rxminus,127
525,189,834,370,airplane,28,rxminus,133
597,233,931,435,airplane,28,rxplus,1
566,259,907,306,airplane,28,rxplus,7
576,235,816,468,airplane,28,rxplus,13
571,131,791,605,airplane,28,rxplus,19
637,177,833,473,airplane,28,rxplus,25
632,367,876,288,airplane,28,rxplus,31
661,235,796,415,airplane,28,rxplus,37
538,70,960,653,airplane,28,rxplus,43
541,142,882,505,airplane,28,rxplus,49
540,267,913,291,airplane,28,rxplus,55
511,257,928,312,airplane,28,rxplus,61
549,276,1127,411,airplane,28,rxplus,67
624,114,793,610,airplane,28,rxplus,73
554,65,859,499,airplane,28,rxplus,79
553,186,931,417,airplane,28,rxplus,85
612,246,918,297,airplane,28,rxplus,91
572,65,871,637,airplane,28,rxplus,97
595,0,908,717,airplane,28,rxplus,103
538,165,1088,454,airplane,28,rxplus,109
629,202,915,329,airplane,28,rxplus,115
538,188,943,425,airplane,28,rxplus,121
589,469,671,226,airplane,28,ryminus,1
713,425,574,241,airplane,28,ryminus,7
776,369,353,649,airplane,28,ryminus,13
612,162,493,618,airplane,28,ryminus,19
580,277,591,388,airplane,28,ryminus,25
667,353,586,292,airplane,28,ryminus,31
783,229,335,623,airplane,28,ryminus,37
700,124,453,564,airplane,28,ryminus,43
734,150,516,444,airplane,28,ryminus,49
716,206,612,326,airplane,28,ryminus,55
798,264,543,260,airplane,28,ryminus,61
881,166,450,340,airplane,28,ryminus,67
912,119,333,572,airplane,28,ryminus,73
912,146,250,594,airplane,28,ryminus,79
838,280,450,440,airplane,28,ryminus,85
759,275,577,209,airplane,28,ryminus,91
762,290,576,222,airplane,28,ryminus,97
801,133,505,490,airplane,28,ryminus,103
845,46,330,678,airplane,28,ryminus,109
850,5,329,517,airplane,28,ryminus,115
703,53,519,482,airplane,28,ryminus,121
668,237,585,201,airplane,28,ryminus,127
574,360,763,264,airplane,28,ryplus,1
594,434,721,216,airplane,28,ryplus,7
583,260,746,497,airplane,28,ryplus,13
760,185,438,679,airplane,28,ryplus,19
851,100,248,733,airplane,28,ryplus,25
735,236,555,555,airplane,28,ryplus,31
609,429,773,274,airplane,28,ryplus,37
626,296,614,442,airplane,28,ryplus,43
723,193,311,677,airplane,28,ryplus,49
746,255,379,611,airplane,28,ryplus,55
709,274,622,337,airplane,28,ryplus,61
583,344,726,216,airplane,28,ryplus,67
610,282,597,364,airplane,28,ryplus,73
714,138,416,517,airplane,28,ryplus,79
874,124,205,628,airplane,28,ryplus,85
688,221,618,400,airplane,28,ryplus,91
589,277,696,228,airplane,28,ryplus,97
579,141,400,471,airplane,28,ryplus,103
740,189,447,835,airplane,28,ryplus,109
